date_of_event,age,citizenship,event_location,event_location_district,event_location_region,date_of_death,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by,DESIRED_FORMAT,age_group
19-09-2023,24,Palestinian,Gaza City,Gaza,Gaza Strip,19-09-2023,M,No,Khan Yunis,Khan Yunis,gunfire,live ammunition,Israeli security forces,Sep 2023,15-44
12-05-2023,51,Palestinian,Gaza City,Gaza,Gaza Strip,12-05-2023,M,Yes,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2023,45-64
12-05-2023,33,Palestinian,Gaza City,Gaza,Gaza Strip,12-05-2023,M,Yes,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2023,15-44
11-05-2023,49,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,11-05-2023,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,May 2023,45-64
11-05-2023,25,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,11-05-2023,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,May 2023,15-44
11-05-2023,43,Palestinian,Bani Suheila,Khan Yunis,Gaza Strip,11-05-2023,M,Yes,Bani Suheila,Khan Yunis,gunfire,missile,Israeli security forces,May 2023,15-44
11-05-2023,43,Palestinian,a-Nuseirat R.C.,Deir al-Balah,Gaza Strip,11-05-2023,M,Yes,a-Nuseirat Camp,Deir al-Balah,gunfire,missile,Israeli security forces,May 2023,15-44
11-05-2023,36,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,12-05-2023,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces,May 2023,15-44
11-05-2023,21,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,11-05-2023,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces,May 2023,15-44
11-05-2023,31,Palestinian,Gaza City,Gaza,Gaza Strip,11-05-2023,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2023,15-44
11-05-2023,23,Palestinian,Gaza City,Gaza,Gaza Strip,11-05-2023,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2023,15-44
11-05-2023,33,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,11-05-2023,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,May 2023,15-44
10-05-2023,25,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,12-05-2023,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces,May 2023,15-44
10-05-2023,28,Palestinian,'Abasan al-Kabirah,Khan Yunis,Gaza Strip,10-05-2023,M,Yes,Abasan al-Kabira,Khan Yunis,gunfire,missile,Israeli security forces,May 2023,15-44
10-05-2023,23,Palestinian,Shokat a-Sufi,Rafah,Gaza Strip,10-05-2023,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,May 2023,15-44
10-05-2023,26,Palestinian,Shokat a-Sufi,Rafah,Gaza Strip,10-05-2023,M,Yes,Rafah,Rafah,gunfire,missile,Israeli security forces,May 2023,15-44
09-05-2023,17,Palestinian,Gaza City,Gaza,Gaza Strip,09-05-2023,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2023,15-44
09-05-2023,8,Palestinian,Gaza City,Gaza,Gaza Strip,09-05-2023,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2023,0-14
09-05-2023,33,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,09-05-2023,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,May 2023,15-44
09-05-2023,27,Palestinian,al-Qararah,Khan Yunis,Gaza Strip,09-05-2023,M,Yes,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,May 2023,15-44
